time_s,observed_fraction,interpolated_fraction,spectral_peak_bpm,peak_concentration,accepted,status,ridge_bpm
5.0,1.0,0.0,,,False,gap_or_filter_edge,
6.0,1.0,0.0,,,False,gap_or_filter_edge,
7.0,1.0,0.0,72.0,0.9024862659324063,True,candidate_only,72.0
8.0,1.0,0.0,72.0,0.9079704006971008,True,candidate_only,72.0
9.0,1.0,0.0,72.0,0.9151861269297983,True,candidate_only,72.0
10.0,1.0,0.0,72.0,0.921860169024345,True,candidate_only,72.0
11.0,1.0,0.0,72.0,0.9287991025565708,True,candidate_only,72.0
12.0,1.0,0.0,72.0,0.9333098643360016,True,candidate_only,72.0
13.0,1.0,0.0,72.0,0.9310116243970555,True,candidate_only,72.0
14.0,1.0,0.0,,,False,gap_or_filter_edge,
15.0,1.0,0.0,,,False,gap_or_filter_edge,
