time_s,observed_fraction,interpolated_fraction,spectral_peak_bpm,peak_concentration,accepted,status,ridge_bpm,raw_spectral_peak_bpm,hr_source
5.0,0.84,0.0,,,False,gap_or_filter_edge,,,saved_fixed_forehead_cpace_waveform_offline
6.0,0.94,0.0,,,False,gap_or_filter_edge,,,saved_fixed_forehead_cpace_waveform_offline
7.0,1.0,0.0,72.0,0.9420446128613875,True,candidate_only,72.0,72.0,saved_fixed_forehead_cpace_waveform_offline
8.0,1.0,0.0,72.0,0.9424228269719648,True,candidate_only,72.0,72.0,saved_fixed_forehead_cpace_waveform_offline
9.0,1.0,0.0,72.0,0.9419461487023657,True,candidate_only,72.0,72.0,saved_fixed_forehead_cpace_waveform_offline
10.0,1.0,0.0,72.0,0.9414235828079118,True,candidate_only,72.0,72.0,saved_fixed_forehead_cpace_waveform_offline
11.0,1.0,0.0,72.0,0.9415376680453428,True,candidate_only,72.0,72.0,saved_fixed_forehead_cpace_waveform_offline
12.0,1.0,0.0,72.0,0.942002830856832,True,candidate_only,72.0,72.0,saved_fixed_forehead_cpace_waveform_offline
13.0,1.0,0.0,72.0,0.9415081589903654,True,candidate_only,72.0,72.0,saved_fixed_forehead_cpace_waveform_offline
14.0,0.94,0.0,,,False,gap_or_filter_edge,,,saved_fixed_forehead_cpace_waveform_offline
15.0,0.84,0.0,,,False,gap_or_filter_edge,,,saved_fixed_forehead_cpace_waveform_offline
