time_s,base,covered,observed,interpolated
0.0,,False,False,False
0.0333332999999999,,False,False,False
0.0666665999999999,,False,False,False
0.0999998999999999,,False,False,False
0.1333331999999999,,False,False,False
0.1666665,,False,False,False
0.1999997999999999,,False,False,False
0.2333331,,False,False,False
0.2666663999999999,,False,False,False
0.2999997,,False,False,False
0.333333,,False,False,False
0.3666663,,False,False,False
0.3999995999999999,,False,False,False
0.4333328999999999,,False,False,False
0.4666662,,False,False,False
0.4999995,,False,False,False
0.5333327999999999,,False,False,False
0.5666661,,False,False,False
0.5999994,,False,False,False
0.6333327,,False,False,False
0.666666,,False,False,False
0.6999993,,False,False,False
0.7333326,,False,False,False
0.7666659,,False,False,False
0.7999991999999999,,False,False,False
0.8333324999999999,,False,False,False
0.8666657999999999,,False,False,False
0.8999990999999999,,False,False,False
0.9333324,,False,False,False
0.9666657,,False,False,False
0.999999,,False,False,False
1.0333323,,False,False,False
1.0666656,,False,False,False
1.0999989,,False,False,False
1.1333322,,False,False,False
1.1666655,,False,False,False
1.1999988,,False,False,False
1.2333321,,False,False,False
1.2666654,,False,False,False
1.2999987,,False,False,False
1.333332,,False,False,False
1.3666653,,False,False,False
1.3999986,,False,False,False
1.4333319,,False,False,False
1.4666652,,False,False,False
1.4999985,,False,False,False
1.5333318,,False,False,False
1.5666650999999998,,False,False,False
1.5999983999999998,,False,False,False
1.6333316999999998,,False,False,False
1.6666649999999998,,False,False,False
1.6999983,,False,False,False
1.7333316,,False,False,False
1.7666649,,False,False,False
1.7999982,,False,False,False
1.8333315,,False,False,False
1.8666648,,False,False,False
1.8999981,,False,False,False
1.9333314,,False,False,False
1.9666647,,False,False,False
1.999998,,False,False,False
2.0333313,,False,False,False
2.0666646,,False,False,False
2.0999979,,False,False,False
2.1333312,,False,False,False
2.1666645,,False,False,False
2.1999978,,False,False,False
2.2333311,,False,False,False
2.2666644,,False,False,False
2.2999977,,False,False,False
2.333331,,False,False,False
2.3666643,,False,False,False
2.3999976,,False,False,False
2.4333309,,False,False,False
2.4666642,,False,False,False
2.4999975,,False,False,False
2.5333308,,False,False,False
2.5666641,,False,False,False
2.5999974,,False,False,False
2.6333307,,False,False,False
2.666664,,False,False,False
2.6999973,,False,False,False
2.7333306,,False,False,False
2.7666639,,False,False,False
2.7999972,,False,False,False
2.8333305,,False,False,False
2.8666638,,False,False,False
2.8999971,,False,False,False
2.9333304,,False,False,False
2.9666637,,False,False,False
2.999997,0.6144529393843557,True,True,False
3.0333303,0.7867763490750302,True,True,False
3.0666636,0.8409954282313105,True,True,False
3.0999969,0.7527455930319267,True,True,False
3.1333302,0.5178588699999707,True,True,False
3.1666635,0.14672097384085786,True,True,False
3.1999968,-0.32784461892111827,True,True,False
3.2333301,-0.8361884069448035,True,True,False
3.2666634,-1.270745693304919,True,True,False
3.2999967,-1.5112206769481509,True,True,False
3.33333,-1.4703381291266977,True,True,False
3.3666633,-1.1387368382234382,True,True,False
3.3999966,-0.6030898801333092,True,True,False
3.4333299,-0.022522449686367647,True,True,False
3.4666632,0.4298917185487042,True,True,False
3.4999965,0.6349751475356639,True,True,False
3.5333298,0.5731433364241676,True,True,False
3.5666631,0.32629828272179745,True,True,False
3.5999964,0.035771669840011275,True,True,False
3.6333297,-0.16141675023570803,True,True,False
3.666663,-0.18594516191062693,True,True,False
3.6999963,-0.03747900126958064,True,True,False
3.7333296,0.21784567347119715,True,True,False
3.7666629,0.48142101048750885,True,True,False
3.7999962,0.6596754799646817,True,True,False
3.8333295,0.690202005777848,True,True,False
3.8666628,0.5531923316626127,True,True,False
